Kategoria: Wszystko

Tydzień,Ślad węglowy: (Cały świat)
2018-01-07,29
2018-01-14,31
2018-01-21,31
2018-01-28,31
2018-02-04,35
2018-02-11,31
2018-02-18,32
2018-02-25,37
2018-03-04,34
2018-03-11,37
2018-03-18,38
2018-03-25,32
2018-04-01,33
2018-04-08,40
2018-04-15,44
2018-04-22,41
2018-04-29,44
2018-05-06,36
2018-05-13,41
2018-05-20,34
2018-05-27,33
2018-06-03,33
2018-06-10,27
2018-06-17,21
2018-06-24,19
2018-07-01,20
2018-07-08,19
2018-07-15,22
2018-07-22,21
2018-07-29,23
2018-08-05,28
2018-08-12,27
2018-08-19,30
2018-08-26,31
2018-09-02,34
2018-09-09,32
2018-09-16,34
2018-09-23,33
2018-09-30,28
2018-10-07,56
2018-10-14,45
2018-10-21,39
2018-10-28,38
2018-11-04,46
2018-11-11,42
2018-11-18,36
2018-11-25,47
2018-12-02,53
2018-12-09,48
2018-12-16,35
2018-12-23,22
2018-12-30,31
2019-01-06,38
2019-01-13,43
2019-01-20,38
2019-01-27,48
2019-02-03,41
2019-02-10,46
2019-02-17,43
2019-02-24,48
2019-03-03,51
2019-03-10,46
2019-03-17,46
2019-03-24,43
2019-03-31,49
2019-04-07,50
2019-04-14,57
2019-04-21,63
2019-04-28,61
2019-05-05,61
2019-05-12,60
2019-05-19,51
2019-05-26,44
2019-06-02,52
2019-06-09,46
2019-06-16,36
2019-06-23,40
2019-06-30,35
2019-07-07,43
2019-07-14,33
2019-07-21,36
2019-07-28,45
2019-08-04,42
2019-08-11,47
2019-08-18,56
2019-08-25,58
2019-09-01,52
2019-09-08,60
2019-09-15,78
2019-09-22,100
2019-09-29,73
2019-10-06,66
2019-10-13,69
2019-10-20,66
2019-10-27,57
2019-11-03,60
2019-11-10,71
2019-11-17,59
2019-11-24,66
2019-12-01,65
2019-12-08,65
2019-12-15,56
2019-12-22,36
2019-12-29,47
2020-01-05,67
2020-01-12,71
2020-01-19,76
2020-01-26,68
2020-02-02,61
2020-02-09,65
2020-02-16,62
2020-02-23,71
2020-03-01,62
2020-03-08,51
2020-03-15,43
2020-03-22,47
2020-03-29,40
2020-04-05,39
2020-04-12,39
2020-04-19,58
2020-04-26,51
2020-05-03,48
2020-05-10,48
2020-05-17,47
2020-05-24,40
2020-05-31,43
2020-06-07,39
2020-06-14,34
2020-06-21,36
2020-06-28,36
2020-07-05,29
2020-07-12,33
2020-07-19,29
2020-07-26,32
2020-08-02,30
2020-08-09,31
2020-08-16,41
2020-08-23,41
2020-08-30,46
2020-09-06,45
2020-09-13,62
2020-09-20,58
2020-09-27,56
2020-10-04,54
2020-10-11,53
2020-10-18,63
2020-10-25,51
2020-11-01,45
2020-11-08,47
2020-11-15,51
2020-11-22,51
2020-11-29,48
2020-12-06,46
2020-12-13,40
2020-12-20,25
2020-12-27,25
2021-01-03,35
2021-01-10,46
2021-01-17,53
2021-01-24,56
2021-01-31,52
2021-02-07,51
2021-02-14,52
2021-02-21,48
2021-02-28,54
2021-03-07,55
2021-03-14,47
2021-03-21,50
2021-03-28,45
2021-04-04,48
2021-04-11,56
2021-04-18,76
2021-04-25,62
2021-05-02,57
2021-05-09,62
2021-05-16,59
2021-05-23,59
2021-05-30,58
2021-06-06,51
2021-06-13,48
2021-06-20,47
2021-06-27,39
2021-07-04,39
2021-07-11,46
2021-07-18,54
2021-07-25,45
2021-08-01,44
2021-08-08,64
2021-08-15,55
2021-08-22,39
2021-08-29,45
2021-09-05,49
2021-09-12,54
2021-09-19,57
2021-09-26,58
2021-10-03,66
2021-10-10,69
