Kategoria: Wszystko

Tydzień,emissions: (Cały świat)
2018-01-07,54
2018-01-14,55
2018-01-21,56
2018-01-28,62
2018-02-04,55
2018-02-11,54
2018-02-18,61
2018-02-25,71
2018-03-04,61
2018-03-11,62
2018-03-18,62
2018-03-25,66
2018-04-01,61
2018-04-08,60
2018-04-15,58
2018-04-22,64
2018-04-29,65
2018-05-06,62
2018-05-13,64
2018-05-20,59
2018-05-27,60
2018-06-03,58
2018-06-10,54
2018-06-17,55
2018-06-24,55
2018-07-01,50
2018-07-08,52
2018-07-15,58
2018-07-22,56
2018-07-29,62
2018-08-05,58
2018-08-12,52
2018-08-19,58
2018-08-26,61
2018-09-02,52
2018-09-09,54
2018-09-16,58
2018-09-23,68
2018-09-30,67
2018-10-07,70
2018-10-14,66
2018-10-21,69
2018-10-28,64
2018-11-04,66
2018-11-11,59
2018-11-18,52
2018-11-25,68
2018-12-02,74
2018-12-09,64
2018-12-16,61
2018-12-23,44
2018-12-30,55
2019-01-06,62
2019-01-13,61
2019-01-20,65
2019-01-27,61
2019-02-03,63
2019-02-10,62
2019-02-17,63
2019-02-24,76
2019-03-03,66
2019-03-10,74
2019-03-17,71
2019-03-24,76
2019-03-31,76
2019-04-07,67
2019-04-14,74
2019-04-21,73
2019-04-28,86
2019-05-05,68
2019-05-12,75
2019-05-19,66
2019-05-26,64
2019-06-02,70
2019-06-09,67
2019-06-16,63
2019-06-23,72
2019-06-30,53
2019-07-07,59
2019-07-14,65
2019-07-21,68
2019-07-28,68
2019-08-04,60
2019-08-11,59
2019-08-18,68
2019-08-25,68
2019-09-01,63
2019-09-08,71
2019-09-15,80
2019-09-22,100
2019-09-29,89
2019-10-06,74
2019-10-13,74
2019-10-20,73
2019-10-27,71
2019-11-03,68
2019-11-10,69
2019-11-17,76
2019-11-24,67
2019-12-01,74
2019-12-08,67
2019-12-15,60
2019-12-22,49
2019-12-29,64
2020-01-05,75
2020-01-12,70
2020-01-19,72
2020-01-26,74
2020-02-02,68
2020-02-09,73
2020-02-16,75
2020-02-23,76
2020-03-01,79
2020-03-08,72
2020-03-15,65
2020-03-22,57
2020-03-29,56
2020-04-05,55
2020-04-12,52
2020-04-19,58
2020-04-26,63
2020-05-03,66
2020-05-10,62
2020-05-17,70
2020-05-24,65
2020-05-31,76
2020-06-07,68
2020-06-14,63
2020-06-21,60
2020-06-28,68
2020-07-05,61
2020-07-12,65
2020-07-19,63
2020-07-26,58
2020-08-02,55
2020-08-09,56
2020-08-16,56
2020-08-23,63
2020-08-30,60
2020-09-06,59
2020-09-13,69
2020-09-20,68
2020-09-27,68
2020-10-04,64
2020-10-11,61
2020-10-18,68
2020-10-25,68
2020-11-01,55
2020-11-08,62
2020-11-15,64
2020-11-22,57
2020-11-29,62
2020-12-06,58
2020-12-13,55
2020-12-20,40
2020-12-27,45
2021-01-03,57
2021-01-10,59
2021-01-17,67
2021-01-24,65
2021-01-31,63
2021-02-07,64
2021-02-14,59
2021-02-21,72
2021-02-28,67
2021-03-07,66
2021-03-14,68
2021-03-21,68
2021-03-28,67
2021-04-04,66
2021-04-11,71
2021-04-18,79
2021-04-25,75
2021-05-02,70
2021-05-09,64
2021-05-16,63
2021-05-23,64
2021-05-30,62
2021-06-06,64
2021-06-13,60
2021-06-20,59
2021-06-27,63
2021-07-04,61
2021-07-11,60
2021-07-18,63
2021-07-25,68
2021-08-01,59
2021-08-08,76
2021-08-15,62
2021-08-22,65
2021-08-29,64
2021-09-05,62
2021-09-12,65
2021-09-19,70
2021-09-26,73
2021-10-03,69
2021-10-10,73
